"RKW","Longitude","Latitude","Ecotype or Status"
"RKW2047",-123.417,63.217,"Pop_2_BorealForest"
"RKW2049",-123.417,63.217,"Pop_2_BorealForest"
"RKW2070",-111.217,55.65,"Pop_2_BorealForest"
"RKW2075",-111.883,60,"Pop_2_BorealForest"
"RKW2199",-105.5,61.5,"Pop_3_Arctic"
"RKW2346",-109.554,64.479,"Pop_3_Arctic"
"RKW7568",-56.453732,51.747733,"Pop_6_AtlanticForest"
"RKW7580",-137.38,60.1,"Pop_1_WestForest"
"RKW7588",-134.833,67.667,"Pop_2_BorealForest"
"RKW7590",-140.52,65.12,"Pop_1_WestForest"
"RKW7596",-135.2,60.9,"Pop_1_WestForest"
"RKW7598",-126.82,65.27,"Pop_1_WestForest"
"RKW7613",-85.17,73.03,"Pop_4_HighArcticBaffin"
"RKW7615",-85.42,77.22,"Pop_3_Arctic"
"RKW7616",-82.5,75.53,"Pop_3_Arctic"
"RKW7621",-116.071472,71.197435,"Pop_3_Arctic"
"RKW7622",-110.543228,72.538139,"Pop_3_Arctic"
"RKW7640",-84.26,77.19,"Pop_3_Arctic"
"RKW7645",-86.239593,66.53,"Pop_3_Arctic"
"RKW7648",-132.667,68.117,"Pop_2_BorealForest"
"RKW7649",-102.6,66.77,"Pop_3_Arctic"
"RKW7651",-94.05,61.1,"Pop_3_Arctic"
"RKW7652",-93.3,69.62,"Pop_3_Arctic"
"RKW7655",-71.106339,65.937813,"Pop_4_HighArcticBaffin"
"RKW7656",-77.164757,69.84377,"Pop_4_HighArcticBaffin"
"RKW369",-71.981011,58.601851,"Pop_6_AtlanticForest"
"RKW730",-76.68773,56.031699,"Pop_6_AtlanticForest"
"RKW2040",-115.25,56.55,"Pop_2_BorealForest"
"RKW2042",-114.833,60.583,"Pop_2_BorealForest"
"RKW2048",-121.217,61.25,"Pop_2_BorealForest"
"RKW7565",-59.784318,54.904696,"Pop_6_AtlanticForest"
"RKW7595",-135.83,63.58,"Pop_1_WestForest"
"RKW7688",-132.967505,57.062266,"Pop_5_BritishColumbia"
"RKW7699",-160.764496,67.890492,"Pop_1_WestForest"
"RKW7700",-160.808,62.204,"Pop_1_WestForest"
"RKW7701",-149.604,68.633,"Pop_1_WestForest"
"RKW7715",-106.930343,53.962094,"Pop_2_BorealForest"
"RKW2052",-117.467,62.133,"Pop_2_BorealForest"
"RKW2223",-97.041296,64.772209,"Pop_3_Arctic"
"RKW2297",-105.433287,61.49534,"Pop_3_Arctic"
"RKW2363",-123.097408,65.024448,"Pop_2_BorealForest"
"RKW3116",-111.1881653,56.7297451,"Pop_2_BorealForest"
"RKW3134",-111.2611031,56.62508354,"Pop_2_BorealForest"
"RKW3599",-147.4460684,63.18228275,"Pop_1_WestForest"
"RKW3757",-124.25,49.08,"Pop_5_BritishColumbia"
"RKW736",-76.658082,56.07267,"Pop_6_AtlanticForest"
"RKW3765",-149.546,63.712,"Pop_1_WestForest"
"RKW7391",-150.744,64.026,"Pop_1_WestForest"
"RKW7393",-150.463,63.541,"Pop_1_WestForest"
"RKW7394",-152.901,62.926,"Pop_1_WestForest"
"RKW7398",-151.946,63.039,"Pop_1_WestForest"
"RKW7401",-151.83,63.36,"Pop_1_WestForest"
"RKW7402",-152.114,63.849,"Pop_1_WestForest"
"RKW7703",-155.597,62.956,"Pop_1_WestForest"
"RKW7704",-148.04,62.061,"Pop_1_WestForest"
"RKW7712",-100.0735477,50.84818978,"Pop_2_BorealForest"
"RKW2348",-123,65.083,"Pop_2_BorealForest"
"RKW7677",-108.43,54.13,"Pop_2_BorealForest"
"RKW7682",-132,55.75,"Pop_5_BritishColumbia"
"RKW1941",-147.4278346,63.25760349,"Pop_1_WestForest"
"RKW2122",-114.479,62.461,"Pop_2_BorealForest"
"RKW2050",-123.117,62.75,"Pop_2_BorealForest"
"RKW2124",-114.512,62.445,"Pop_3_Arctic"
"RKW734",-76.720127,56.007989,"Pop_6_AtlanticForest"
"RKW735",-76.73995647,55.97896404,"Pop_6_AtlanticForest"
"RKW2118",-114.451,62.462,"Pop_2_BorealForest"
"RKW2123",-114.507,62.45,"Pop_2_BorealForest"
"RKW2143",-118.017,67.05,"Pop_3_Arctic"
"RKW3764",-150.655,63.831,"Pop_1_WestForest"
"RKW2030",-117.433,56.233,"Pop_2_BorealForest"
"RKW7390",-151.83,63.36,"Pop_1_WestForest"
"RKW7573",-64.019647,53.543431,"Pop_6_AtlanticForest"
"RKW7633",-69.324528,62.681308,"Pop_4_HighArcticBaffin"
"RKW7668",-102.02,57.08,"Pop_2_BorealForest"
"RKW2057",-111.883,59,"Pop_2_BorealForest"
"RKW3114",-111.883,60,"Pop_2_BorealForest"
"RKW2156",-97.01111567,64.69630388,"Pop_3_Arctic"
"RKW7625",-125.720681,71.983433,"Pop_3_Arctic"
"RKW7636",-85.508735,71.191287,"Pop_3_Arctic"
"RKW7639",-76.684469,64.31538,"Pop_3_Arctic"
"RKW2142",-110.667,65.5,"Pop_3_Arctic"
"RKW7684",-134,56.583,"Pop_5_BritishColumbia"
"RKW2056",-111.883,59,"Pop_2_BorealForest"
"RKW7619",-104.353608,68.939125,"Pop_3_Arctic"
"RKW7626",-116.41939,73.856995,"Pop_3_Arctic"
"RKW7634",-81.48,70.2,"Pop_4_HighArcticBaffin"
"RKW7644",-90.08,68.88,"Pop_3_Arctic"
"RKW7646",-84.45,64.15,"Pop_3_Arctic"
"RKW7647",-133.595031,69.506251,"Pop_1_WestForest"
"RKW7650",-91.07,64.48,"Pop_3_Arctic"
"RKW7399",-149.212,63.729,"Pop_1_WestForest"
"RKW7400",-149.156,63.839,"Pop_1_WestForest"
"RKW7653",-128.22,60.08,"Pop_1_WestForest"
"RKW7654",-132.13,60.22,"Pop_1_WestForest"
"RKW7658",-71.292181,68.497529,"Pop_4_HighArcticBaffin"
"RKW7686",-133.5,56.75,"Pop_5_BritishColumbia"
"RKW2149",-113.5,66.967,"Pop_3_Arctic"
"RKW2383",-110.635,64.884,"Pop_3_Arctic"
"RKW3758",-151.932,63.714,"Pop_1_WestForest"
"RKW3763",-150.974,63.83,"Pop_1_WestForest"
"RKW3768",-151.766,63.311,"Pop_1_WestForest"
"RKW2137",-114,69.383,"Pop_3_Arctic"
"RKW2160",-97.05,64.77,"Pop_3_Arctic"
"RKW7631",-121.925,73.44,"Pop_3_Arctic"
"RKW14215",-71.921328,58.576515,"Pop_6_AtlanticForest"
"RKW7392",-152.359,63.455,"Pop_1_WestForest"
"RKW3760",-152.37,63.876,"Pop_1_WestForest"
"RKW2308",-104.333,60.833,"Removed before Bayenv (Admixed)"
"RKW2140",-117.667,67.333,"Removed before Bayenv (Admixed)"
"RKW2354",-123.333,65.167,"Removed before Bayenv (Admixed)"
"RKW2355",-123.417,65.2,"Removed before Bayenv (Admixed)"
"RKW2352",-104.379753,60.833726,"Removed before Bayenv (Admixed)"
"RKW2026",-115.250,56.550,"Removed before Bayenv (Admixed)"
"RKW7584",-125.568972,64.902413,"Removed before Bayenv (Admixed)"
"RKW7585",-137.333,68.817,"Removed before Bayenv (Admixed)"
"RKW7697",-124.25,57.083,"Removed before Bayenv (Related)"
"RKW367",-72.012857,58.756188,"Removed before Bayenv (Related)"
